Excitation/Emission,450 nm/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detection settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed read,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kinetic settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total run time,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycles,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shake settings (before 1st read),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shake,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shake settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shake,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Read area settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Read order,Row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wavelength(Ex/Em),450 nm/-,Cycle(Seconds)/Well,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,,0,0.033,0.154,0.152,0.15,0.143,0.158,0.17,0.178,0.115,0.15,,,0.032,0.152,0.15,0.142,0.156,0.158,0.172,0.172,0.107,0.167,,,0.032,0.148,0.149,0.142,0.143,0.157,0.169,0.171,0.105,0.17,,,0.565,0.085,0.085,0.082,0.084,0.092,0.091,0.095,0.058,0.034,,,0.642,0.101,0.1,0.102,0.102,0.108,0.114,0.117,0.077,0.034,,,0.264,0.059,0.059,0.057,0.057,0.06,0.06,0.058,0.046,0.034,,,1.014,0.78,0.604,0.427,0.24,0.05,0.034,0.035,0.035,0.035,,,1.011,0.799,0.623,0.403,0.233,0.047,0.032,0.033,0.033,0.034,,
,,119.46,0.033,0.188,0.186,0.183,0.174,0.194,0.208,0.22,0.137,0.181,,,0.032,0.187,0.184,0.173,0.191,0.192,0.213,0.212,0.13,0.206,,,0.032,0.183,0.185,0.174,0.176,0.193,0.211,0.213,0.127,0.213,,,0.766,0.099,0.099,0.096,0.097,0.108,0.108,0.113,0.061,0.034,,,0.891,0.117,0.116,0.117,0.118,0.128,0.136,0.139,0.082,0.034,,,0.438,0.073,0.071,0.069,0.069,0.074,0.075,0.073,0.051,0.034,,,1.014,0.779,0.6,0.428,0.239,0.049,0.034,0.035,0.035,0.035,,,1.002,0.797,0.62,0.399,0.232,0.047,0.032,0.033,0.033,0.034,,
,,239.83,0.033,0.223,0.221,0.215,0.205,0.23,0.247,0.26,0.16,0.214,,,0.032,0.221,0.219,0.204,0.225,0.228,0.254,0.252,0.153,0.246,,,0.032,0.218,0.22,0.206,0.209,0.23,0.252,0.255,0.15,0.256,,,0.962,0.115,0.114,0.11,0.11,0.126,0.126,0.132,0.065,0.034,,,1.133,0.134,0.133,0.133,0.134,0.148,0.159,0.162,0.086,0.034,,,0.602,0.086,0.084,0.082,0.082,0.088,0.09,0.088,0.055,0.034,,,1.008,0.779,0.603,0.428,0.238,0.049,0.034,0.035,0.035,0.035,,,1.002,0.794,0.618,0.397,0.232,0.047,0.032,0.033,0.033,0.034,,
,,359.7,0.033,0.257,0.255,0.248,0.235,0.266,0.286,0.302,0.184,0.246,,,0.032,0.256,0.253,0.235,0.26,0.264,0.294,0.292,0.175,0.286,,,0.032,0.252,0.256,0.238,0.241,0.267,0.292,0.297,0.173,0.297,,,1.15,0.129,0.129,0.124,0.124,0.143,0.143,0.151,0.069,0.034,,,1.368,0.151,0.15,0.149,0.151,0.168,0.182,0.185,0.09,0.034,,,0.76,0.1,0.097,0.094,0.094,0.103,0.104,0.103,0.062,0.034,,,1.008,0.781,0.602,0.427,0.238,0.049,0.034,0.035,0.035,0.035,,,1,0.794,0.616,0.395,0.232,0.047,0.032,0.033,0.033,0.034,,
,,479.8,0.033,0.291,0.288,0.28,0.265,0.301,0.323,0.342,0.208,0.278,,,0.032,0.29,0.287,0.266,0.294,0.3,0.333,0.332,0.198,0.324,,,0.033,0.286,0.29,0.27,0.274,0.303,0.332,0.338,0.196,0.338,,,1.331,0.145,0.145,0.138,0.138,0.16,0.161,0.17,0.073,0.034,,,1.598,0.168,0.167,0.166,0.168,0.188,0.205,0.208,0.095,0.034,,,0.908,0.113,0.11,0.107,0.107,0.117,0.119,0.118,0.068,0.034,,,1.011,0.781,0.602,0.427,0.238,0.049,0.034,0.035,0.035,0.035,,,0.999,0.794,0.614,0.394,0.232,0.047,0.033,0.033,0.033,0.034,,
,,599.7,0.033,0.323,0.321,0.312,0.295,0.336,0.359,0.381,0.232,0.309,,,0.032,0.324,0.32,0.297,0.328,0.334,0.37,0.371,0.221,0.362,,,0.032,0.32,0.325,0.301,0.305,0.339,0.37,0.379,0.218,0.378,,,1.507,0.16,0.16,0.152,0.152,0.178,0.179,0.188,0.076,0.034,,,1.825,0.185,0.184,0.182,0.185,0.208,0.228,0.232,0.1,0.034,,,1.047,0.127,0.122,0.119,0.119,0.132,0.134,0.132,0.071,0.034,,,1.006,0.782,0.602,0.425,0.237,0.049,0.034,0.035,0.035,0.035,,,0.998,0.791,0.612,0.393,0.231,0.047,0.032,0.033,0.033,0.034,,
,,719.87,0.033,0.356,0.354,0.344,0.324,0.37,0.394,0.421,0.257,0.34,,,0.032,0.357,0.354,0.327,0.361,0.369,0.407,0.409,0.243,0.399,,,0.032,0.354,0.359,0.332,0.337,0.374,0.407,0.418,0.24,0.418,,,1.677,0.175,0.175,0.166,0.166,0.195,0.196,0.207,0.08,0.034,,,2.04,0.203,0.202,0.199,0.202,0.229,0.252,0.255,0.104,0.034,,,1.18,0.14,0.135,0.132,0.132,0.146,0.148,0.147,0.074,0.034,,,1.012,0.78,0.602,0.425,0.237,0.049,0.034,0.035,0.035,0.035,,,0.996,0.792,0.609,0.393,0.231,0.047,0.032,0.033,0.033,0.034,,
,,839.78,0.033,0.387,0.386,0.375,0.353,0.403,0.428,0.459,0.28,0.37,,,0.032,0.39,0.387,0.357,0.394,0.403,0.441,0.448,0.266,0.436,,,0.033,0.387,0.393,0.364,0.369,0.409,0.442,0.458,0.263,0.456,,,1.838,0.19,0.19,0.18,0.18,0.213,0.214,0.225,0.084,0.034,,,2.258,0.22,0.219,0.216,0.219,0.25,0.275,0.278,0.109,0.034,,,1.307,0.154,0.148,0.144,0.144,0.16,0.163,0.161,0.078,0.034,,,1.007,0.78,0.602,0.424,0.237,0.049,0.034,0.035,0.035,0.035,,,0.994,0.792,0.61,0.392,0.231,0.048,0.032,0.033,0.033,0.034,,
,,959.69,0.033,0.419,0.417,0.405,0.382,0.436,0.459,0.497,0.304,0.4,,,0.032,0.422,0.419,0.387,0.427,0.437,0.474,0.486,0.288,0.472,,,0.033,0.42,0.426,0.394,0.4,0.444,0.475,0.497,0.284,0.494,,,1.994,0.205,0.205,0.194,0.194,0.23,0.231,0.243,0.088,0.034,,,2.464,0.237,0.236,0.232,0.236,0.27,0.298,0.301,0.114,0.034,,,1.423,0.167,0.16,0.157,0.156,0.174,0.177,0.176,0.082,0.034,,,1.006,0.778,0.602,0.424,0.236,0.049,0.034,0.035,0.035,0.035,,,0.992,0.789,0.607,0.392,0.231,0.048,0.032,0.033,0.033,0.034,,
,,1080.03,0.033,0.449,0.449,0.436,0.411,0.469,0.489,0.535,0.327,0.43,,,0.032,0.454,0.452,0.416,0.46,0.47,0.505,0.523,0.31,0.508,,,0.033,0.453,0.459,0.425,0.432,0.478,0.506,0.536,0.306,0.531,,,2.143,0.22,0.221,0.208,0.208,0.247,0.249,0.261,0.091,0.034,,,2.667,0.255,0.253,0.249,0.253,0.291,0.322,0.324,0.118,0.034,,,1.536,0.18,0.173,0.169,0.168,0.188,0.191,0.19,0.086,0.034,,,1.005,0.776,0.601,0.423,0.236,0.049,0.034,0.035,0.035,0.035,,,0.991,0.789,0.607,0.392,0.231,0.048,0.032,0.033,0.033,0.034,,
,,1199.95,0.033,0.48,0.48,0.466,0.439,0.502,0.517,0.572,0.35,0.459,,,0.032,0.486,0.484,0.445,0.492,0.504,0.534,0.56,0.332,0.543,,,0.032,0.484,0.492,0.455,0.462,0.513,0.535,0.574,0.328,0.568,,,2.285,0.235,0.235,0.222,0.222,0.265,0.266,0.279,0.095,0.034,,,2.868,0.272,0.271,0.266,0.27,0.311,0.345,0.348,0.123,0.034,,,1.641,0.193,0.186,0.181,0.18,0.202,0.205,0.204,0.09,0.034,,,1.004,0.776,0.601,0.423,0.236,0.049,0.034,0.035,0.035,0.035,,,0.99,0.788,0.605,0.391,0.231,0.048,0.032,0.033,0.033,0.034,,
,,1320,0.033,0.51,0.51,0.495,0.467,0.535,0.542,0.609,0.373,0.488,,,0.032,0.517,0.515,0.474,0.525,0.537,0.561,0.596,0.354,0.578,,,0.033,0.516,0.524,0.484,0.492,0.546,0.562,0.612,0.349,0.605,,,2.424,0.25,0.25,0.235,0.236,0.282,0.283,0.297,0.099,0.034,,,3.055,0.289,0.288,0.282,0.287,0.332,0.368,0.37,0.128,0.034,,,1.734,0.207,0.198,0.193,0.193,0.215,0.219,0.218,0.094,0.034,,,1.003,0.775,0.6,0.423,0.236,0.049,0.034,0.035,0.035,0.035,,,0.988,0.787,0.605,0.391,0.231,0.048,0.032,0.033,0.033,0.034,,
,,1440.16,0.033,0.54,0.54,0.525,0.495,0.567,0.565,0.645,0.395,0.516,,,0.032,0.548,0.547,0.503,0.557,0.569,0.585,0.632,0.375,0.612,,,0.033,0.548,0.556,0.514,0.522,0.58,0.586,0.649,0.37,0.64,,,2.561,0.265,0.265,0.249,0.25,0.298,0.3,0.314,0.103,0.034,,,3.24,0.307,0.305,0.299,0.304,0.352,0.391,0.394,0.132,0.034,,,1.801,0.219,0.21,0.206,0.204,0.229,0.232,0.231,0.098,0.034,,,1.003,0.775,0.6,0.422,0.236,0.049,0.034,0.035,0.035,0.035,,,0.986,0.786,0.604,0.39,0.231,0.048,0.032,0.033,0.033,0.034,,
,,1560.06,0.033,0.569,0.569,0.554,0.523,0.598,0.587,0.681,0.418,0.544,,,0.032,0.579,0.577,0.531,0.589,0.601,0.608,0.668,0.396,0.647,,,0.033,0.579,0.588,0.544,0.552,0.613,0.609,0.686,0.392,0.676,,,2.689,0.279,0.28,0.263,0.263,0.314,0.317,0.332,0.106,0.034,,,3.422,0.324,0.322,0.316,0.321,0.373,0.413,0.416,0.137,0.034,,,1.806,0.232,0.222,0.217,0.216,0.243,0.246,0.245,0.104,0.034,,,1.004,0.774,0.6,0.423,0.236,0.05,0.034,0.035,0.035,0.035,,,0.985,0.786,0.605,0.39,0.231,0.048,0.032,0.033,0.033,0.034,,
,,1679.95,0.033,0.599,0.599,0.583,0.55,0.63,0.608,0.716,0.44,0.572,,,0.032,0.609,0.608,0.56,0.62,0.633,0.629,0.703,0.418,0.68,,,0.033,0.61,0.619,0.573,0.582,0.645,0.631,0.722,0.412,0.711,,,2.814,0.294,0.294,0.276,0.277,0.331,0.334,0.35,0.11,0.034,,,3.605,0.341,0.339,0.332,0.338,0.393,0.436,0.439,0.142,0.034,,,1.805,0.244,0.234,0.229,0.228,0.256,0.259,0.258,0.106,0.034,,,1,0.774,0.6,0.422,0.235,0.049,0.034,0.035,0.035,0.035,,,0.983,0.786,0.604,0.39,0.231,0.048,0.032,0.033,0.033,0.034,,
,,1800,0.033,0.627,0.628,0.612,0.577,0.661,0.628,0.751,0.462,0.599,,,0.032,0.64,0.638,0.588,0.651,0.665,0.65,0.738,0.438,0.714,,,0.033,0.64,0.65,0.602,0.612,0.678,0.65,0.758,0.433,0.746,,,2.936,0.308,0.309,0.29,0.29,0.348,0.35,0.367,0.114,0.034,,,3.776,0.358,0.356,0.348,0.355,0.413,0.459,0.461,0.146,0.034,,,1.805,0.257,0.246,0.241,0.24,0.269,0.272,0.271,0.111,0.034,,,0.999,0.774,0.599,0.422,0.235,0.05,0.034,0.035,0.035,0.035,,,0.982,0.785,0.604,0.39,0.231,0.048,0.032,0.033,0.033,0.034,,
