Excitation/Emission,450 nm/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detection settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed read,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kinetic settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total run time,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycles,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shake settings (before 1st read),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shake,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shake settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shake,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Read area settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Read order,Row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wavelength(Ex/Em),450 nm/-,Cycle(Seconds)/Well,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,,0,0.116,0.528,0.599,0.51,0.477,0.48,0.536,0.45,0.476,0.116,,,0.052,0.453,0.553,0.458,0.465,0.46,0.466,0.417,0.434,0.117,,,0.033,0.44,0.522,0.461,0.445,0.451,0.496,0.403,0.433,0.114,,,0.944,0.113,0.138,0.118,0.115,0.112,0.136,0.108,0.035,0.058,,,0.838,0.103,0.13,0.111,0.11,0.105,0.128,0.104,0.046,0.06,,,0.805,0.098,0.122,0.105,0.102,0.101,0.119,0.1,0.036,0.061,,,1.019,0.838,0.644,0.444,0.249,0.051,0.035,0.036,0.035,0.035,,,1.023,0.841,0.642,0.446,0.247,0.049,0.033,0.033,0.033,0.033,,
,,119.04,0.118,0.668,0.78,0.67,0.622,0.638,0.687,0.586,0.623,0.14,,,0.049,0.602,0.729,0.609,0.615,0.611,0.594,0.555,0.573,0.145,,,0.033,0.587,0.703,0.619,0.599,0.605,0.642,0.54,0.577,0.14,,,1.303,0.139,0.174,0.145,0.144,0.138,0.17,0.131,0.035,0.063,,,1.212,0.128,0.167,0.139,0.139,0.133,0.165,0.13,0.046,0.064,,,1.198,0.123,0.161,0.134,0.131,0.127,0.155,0.126,0.036,0.067,,,1.025,0.835,0.642,0.443,0.248,0.051,0.035,0.036,0.035,0.035,,,1.02,0.837,0.64,0.446,0.246,0.049,0.033,0.033,0.033,0.033,,
,,239.21,0.118,0.81,0.962,0.83,0.767,0.792,0.798,0.724,0.768,0.166,,,0.047,0.752,0.907,0.761,0.766,0.761,0.696,0.691,0.714,0.173,,,0.033,0.736,0.88,0.777,0.75,0.758,0.752,0.675,0.721,0.168,,,1.651,0.167,0.212,0.173,0.172,0.166,0.207,0.156,0.035,0.068,,,1.572,0.152,0.206,0.168,0.168,0.159,0.203,0.156,0.046,0.068,,,1.579,0.148,0.2,0.163,0.16,0.154,0.195,0.153,0.036,0.073,,,1.016,0.833,0.642,0.442,0.247,0.051,0.035,0.036,0.035,0.034,,,1.018,0.834,0.638,0.445,0.246,0.05,0.033,0.033,0.033,0.033,,
,,360.12,0.119,0.951,1.141,0.988,0.91,0.941,0.895,0.859,0.91,0.191,,,0.046,0.899,1.082,0.909,0.912,0.908,0.79,0.824,0.852,0.2,,,0.033,0.884,1.054,0.93,0.899,0.909,0.854,0.809,0.864,0.195,,,1.982,0.194,0.25,0.201,0.2,0.193,0.244,0.179,0.035,0.074,,,1.911,0.178,0.245,0.196,0.197,0.185,0.242,0.182,0.046,0.072,,,1.947,0.173,0.239,0.191,0.188,0.18,0.237,0.179,0.036,0.08,,,1.016,0.834,0.641,0.441,0.247,0.051,0.035,0.036,0.035,0.035,,,1.017,0.833,0.636,0.445,0.245,0.05,0.033,0.033,0.033,0.033,,
,,480.05,0.119,1.086,1.315,1.14,1.05,1.083,0.987,0.989,1.046,0.217,,,0.045,1.042,1.251,1.054,1.055,1.051,0.876,0.954,0.986,0.228,,,0.033,1.027,1.22,1.08,1.042,1.056,0.949,0.939,1.002,0.223,,,2.294,0.22,0.288,0.228,0.228,0.218,0.281,0.203,0.035,0.079,,,2.229,0.204,0.284,0.224,0.225,0.211,0.281,0.207,0.046,0.076,,,2.293,0.198,0.278,0.219,0.216,0.206,0.279,0.205,0.036,0.087,,,1.019,0.832,0.64,0.441,0.246,0.051,0.035,0.036,0.035,0.035,,,1.015,0.832,0.636,0.444,0.244,0.05,0.033,0.033,0.033,0.033,,
,,599.94,0.119,1.216,1.483,1.286,1.185,1.222,1.076,1.116,1.179,0.243,,,0.044,1.181,1.414,1.195,1.195,1.191,0.958,1.082,1.118,0.256,,,0.033,1.167,1.381,1.227,1.182,1.199,1.04,1.065,1.138,0.25,,,2.596,0.246,0.325,0.255,0.255,0.243,0.318,0.226,0.035,0.085,,,2.533,0.228,0.323,0.251,0.253,0.236,0.319,0.232,0.046,0.08,,,2.622,0.222,0.317,0.247,0.243,0.232,0.316,0.231,0.036,0.093,,,1.016,0.832,0.64,0.441,0.246,0.051,0.035,0.036,0.035,0.035,,,1.014,0.832,0.636,0.444,0.244,0.05,0.033,0.033,0.033,0.033,,
,,720,0.12,1.343,1.645,1.428,1.318,1.356,1.162,1.239,1.308,0.269,,,0.044,1.317,1.573,1.332,1.331,1.329,1.041,1.207,1.247,0.283,,,0.033,1.303,1.537,1.368,1.317,1.338,1.127,1.19,1.27,0.276,,,2.887,0.272,0.363,0.282,0.282,0.268,0.355,0.249,0.035,0.09,,,2.826,0.252,0.362,0.278,0.281,0.261,0.358,0.257,0.046,0.085,,,2.936,0.246,0.356,0.274,0.27,0.257,0.353,0.256,0.036,0.1,,,1.016,0.83,0.638,0.44,0.246,0.051,0.035,0.036,0.035,0.035,,,1.013,0.831,0.635,0.443,0.244,0.05,0.033,0.033,0.033,0.033,,
,,840.06,0.12,1.466,1.801,1.566,1.447,1.488,1.248,1.359,1.434,0.295,,,0.043,1.45,1.726,1.466,1.464,1.462,1.117,1.328,1.372,0.311,,,0.033,1.436,1.689,1.506,1.45,1.475,1.212,1.31,1.398,0.303,,,3.164,0.297,0.401,0.308,0.308,0.293,0.392,0.272,0.035,0.096,,,3.101,0.276,0.401,0.305,0.309,0.285,0.396,0.281,0.046,0.089,,,3.236,0.269,0.396,0.301,0.296,0.282,0.391,0.281,0.036,0.107,,,1.015,0.83,0.639,0.44,0.246,0.051,0.035,0.036,0.035,0.035,,,1.012,0.831,0.634,0.443,0.244,0.05,0.033,0.033,0.033,0.033,,
,,959.97,0.12,1.586,1.953,1.7,1.572,1.615,1.337,1.476,1.557,0.321,,,0.043,1.578,1.876,1.596,1.593,1.592,1.195,1.446,1.495,0.338,,,0.033,1.566,1.836,1.639,1.58,1.608,1.298,1.429,1.524,0.33,,,3.425,0.322,0.439,0.334,0.335,0.317,0.428,0.294,0.035,0.101,,,3.364,0.3,0.44,0.331,0.336,0.309,0.434,0.306,0.046,0.094,,,3.515,0.292,0.434,0.328,0.323,0.306,0.429,0.305,0.036,0.113,,,1.014,0.829,0.638,0.44,0.246,0.052,0.035,0.036,0.035,0.034,,,1.012,0.83,0.634,0.442,0.244,0.051,0.033,0.033,0.033,0.033,,
,,1080.11,0.12,1.703,2.1,1.831,1.694,1.738,1.425,1.591,1.677,0.347,,,0.043,1.703,2.021,1.724,1.72,1.72,1.276,1.561,1.613,0.365,,,0.033,1.693,1.979,1.771,1.707,1.738,1.382,1.545,1.645,0.356,,,3.67,0.347,0.476,0.359,0.36,0.341,0.464,0.316,0.035,0.107,,,3.608,0.323,0.478,0.357,0.363,0.333,0.472,0.329,0.046,0.098,,,3.779,0.315,0.472,0.354,0.349,0.33,0.465,0.329,0.036,0.12,,,1.012,0.828,0.638,0.439,0.246,0.052,0.035,0.036,0.035,0.034,,,1.012,0.83,0.634,0.442,0.243,0.05,0.033,0.033,0.033,0.033,,
,,1199.92,0.12,1.818,2.242,1.958,1.814,1.859,1.517,1.702,1.793,0.372,,,0.043,1.825,2.161,1.847,1.843,1.844,1.354,1.673,1.73,0.392,,,0.033,1.816,2.118,1.898,1.831,1.864,1.472,1.65,1.764,0.383,,,3.902,0.371,0.513,0.384,0.386,0.364,0.5,0.337,0.035,0.112,,,3.804,0.345,0.517,0.383,0.39,0.356,0.509,0.353,0.046,0.102,,,#SAT,0.338,0.511,0.38,0.374,0.353,0.502,0.353,0.036,0.127,,,1.008,0.827,0.637,0.439,0.245,0.052,0.035,0.036,0.035,0.035,,,1.011,0.83,0.634,0.442,0.244,0.051,0.033,0.033,0.033,0.033,,
,,1320.07,0.121,1.93,2.383,2.083,1.931,1.976,1.609,1.811,1.907,0.397,,,0.042,1.943,2.297,1.968,1.963,1.966,1.438,1.782,1.843,0.419,,,0.033,1.937,2.254,2.021,1.952,1.988,1.562,1.758,1.879,0.409,,,#SAT,0.393,0.55,0.408,0.411,0.387,0.535,0.358,0.035,0.118,,,3.916,0.368,0.555,0.408,0.417,0.379,0.545,0.377,0.046,0.106,,,#SAT,0.36,0.549,0.405,0.4,0.376,0.538,0.376,0.036,0.133,,,1.015,0.827,0.637,0.439,0.245,0.052,0.035,0.036,0.035,0.034,,,1.01,0.829,0.634,0.441,0.243,0.051,0.033,0.033,0.033,0.033,,
,,1439.98,0.121,2.038,2.517,2.204,2.044,2.091,1.708,1.917,2.018,0.421,,,0.042,2.058,2.428,2.085,2.08,2.084,1.523,1.888,1.953,0.445,,,0.033,2.054,2.385,2.142,2.071,2.108,1.654,1.866,1.992,0.435,,,#SAT,0.416,0.587,0.432,0.437,0.409,0.57,0.379,0.035,0.123,,,3.9,0.39,0.593,0.433,0.443,0.402,0.582,0.4,0.046,0.111,,,#SAT,0.382,0.587,0.43,0.425,0.398,0.574,0.4,0.036,0.14,,,1.013,0.826,0.637,0.439,0.246,0.052,0.035,0.036,0.035,0.034,,,1.009,0.828,0.634,0.441,0.244,0.051,0.033,0.033,0.033,0.033,,
,,1560.11,0.121,2.145,2.648,2.323,2.155,2.202,1.804,2.021,2.126,0.446,,,0.042,2.168,2.558,2.2,2.195,2.201,1.604,1.993,2.061,0.472,,,0.033,2.169,2.513,2.26,2.186,2.227,1.746,1.971,2.102,0.461,,,#SAT,0.439,0.624,0.456,0.462,0.431,0.605,0.4,0.035,0.129,,,3.885,0.412,0.63,0.458,0.469,0.424,0.617,0.423,0.046,0.115,,,#SAT,0.403,0.624,0.454,0.45,0.421,0.609,0.423,0.036,0.146,,,1.013,0.826,0.637,0.439,0.245,0.052,0.035,0.036,0.035,0.035,,,1.009,0.829,0.634,0.44,0.244,0.051,0.033,0.033,0.033,0.033,,
,,1679.88,0.122,2.249,2.775,2.437,2.263,2.312,1.904,2.122,2.232,0.47,,,0.042,2.276,2.684,2.311,2.308,2.314,1.686,2.094,2.166,0.498,,,0.033,2.281,2.636,2.375,2.3,2.341,1.837,2.073,2.208,0.486,,,#SAT,0.461,0.66,0.478,0.486,0.453,0.638,0.42,0.035,0.134,,,3.893,0.433,0.668,0.483,0.495,0.446,0.652,0.446,0.046,0.119,,,#SAT,0.424,0.661,0.479,0.475,0.442,0.644,0.445,0.036,0.153,,,1.013,0.826,0.637,0.438,0.245,0.052,0.035,0.036,0.035,0.034,,,1.009,0.829,0.634,0.44,0.244,0.052,0.033,0.033,0.033,0.033,,
,,1799.97,0.122,2.351,2.9,2.551,2.37,2.419,2,2.22,2.335,0.494,,,0.042,2.384,2.806,2.421,2.417,2.424,1.771,2.194,2.269,0.524,,,0.033,2.39,2.758,2.488,2.411,2.454,1.933,2.175,2.314,0.512,,,#SAT,0.483,0.697,0.501,0.511,0.474,0.672,0.44,0.035,0.14,,,3.89,0.453,0.704,0.507,0.521,0.468,0.687,0.468,0.046,0.124,,,#SAT,0.444,0.698,0.502,0.5,0.464,0.678,0.468,0.036,0.159,,,1.007,0.825,0.637,0.438,0.245,0.052,0.035,0.036,0.035,0.035,,,1.009,0.829,0.633,0.44,0.244,0.052,0.033,0.033,0.033,0.033,,
